"scid","sname","scity","sdist"
"1575","קדימה","קריית ביאליק","חיפה"
"1580","יסודי ביאליק","קריית ביאליק","חיפה"
"1624","מקיף גרוס","קריית גת","דרום"
"1625","בית דוד","קריית גת","דרום"
"1644","מקיף חדש ע""ש רבין","קריית ים","חיפה"
"1328","ויצמן","קריית מוצקין","חיפה"
"1533","גימנסיה קריות","קריית מוצקין","חיפה"
"1545","האחים","קריית מלאכי ","דרום "
"1621","בית חנה חב""ד","קריית מלאכי ","דרום"
"1623","אמי""ת","קריית מלאכי ","דרום"
"1555","רננים","קרית שמונה","צפון"
"1022","ניר","קרית אונו","תל אביב"
"1023","עלומים","קרית אונו","תל אביב"
"1270","בן צבי תיכון","קרית אונו","תל אביב"
"1658","אביגור ורשה","קרית אונו","תל אביב"
"1024","רוגוזין א חט''ב","קרית אתא","חיפה"
"1025","גבעת טל יסודי","קרית אתא","חיפה"
"1026","ירושלים","קרית אתא","חיפה"
"1491","גורדון ","קרית אתא ","חיפה"
"1493","נועם","קרית אתא ","חיפה"
"1495","פינסקר","קרית אתא ","חיפה"
"1176","אורט דפנה","קרית ביאליק","חיפה"
"1177","נעורים","קרית ביאליק","חיפה"
"1505","אורט קרית ביאליק","קרית ביאליק","חיפה"
"1369","בגין","קרית גת","דרום"
"1425","רוגוזין","קרית גת","דרום"
"1426","מקיף אריה מאיר","קרית גת","דרום"
"1427","הרצל","קרית גת","דרום"
"1428","רמב""ם","קרית גת","דרום"
"1542","חב""ד בנות","קרית גת","דרום"
"1239","דגניה","קרית חיים","חיפה"
"1178","עלומים","קרית ים","חיפה"
"1494","אמירים ","קרית ים ","חיפה"
"1506","אורט קרית מוצקין","קרית מוצקין","חיפה"
"1492","בגין ","קרית מוצקין ","חיפה"
"1347","אלי כהן","קרית מלאכי","דרום"
"1352","חב""ד בנות","קרית מלאכי","דרום"
"1409","נצח ישראל","קרית מלאכי","דרום"
"1549","הראל","קרית מלאכי","דרום "
"1027","בן צבי","קרית עקרון","מרכז"
"1028","משואה","קרני שומרון","מרכז"
"1029","אוהל שרה","ראש העין","מרכז"
"1030","אוהל שלום","ראש העין","מרכז"
"1032","תיכון בגין","ראש העין","מרכז"
"1033","חט''ב היובל","ראש העין","מרכז"
"1116","גוונים","ראש העין","מרכז"
"1163","היובל","ראש העין","מרכז"
"1298","נופים","ראש העין","מרכז"
"1344","צורים","ראש העין","מרכז"
"1366","טל","ראש העין","מרכז"
"1478","נווה דליה","ראש העין","מרכז"
"1566","עתיד","ראש העין","מרכז"
"1034","עירוני ד' גן נחום","ראשון לציון","מרכז"
"1035","רוזן","ראשון לציון","מרכז"
"1036","שלמון","ראשון לציון","מרכז"
"1037","רעות","ראשון לציון","מרכז"
"1038","נוה חוף","ראשון לציון","מרכז"
"1039","חופית","ראשון לציון","מרכז"
"1040","איתמר","ראשון לציון","מרכז"
"1041","נאות אשלים אנתרופולוגי","ראשון לציון","מרכז"
"1042","חתני פרס נובל","ראשון לציון","מרכז"
"1043","כרמים","ראשון לציון","מרכז"
"1044","נוה דקלים","ראשון לציון","מרכז"
"1045","רננים","ראשון לציון","מרכז"
"1046","ידלין","ראשון לציון","מרכז"
"1047","ארזים ","ראשון לציון","מרכז"
"1048","נאות אשלים אומנויות","ראשון לציון","מרכז"
"1049","עדיני","ראשון לציון","מרכז"
"1050","ויתקין","ראשון לציון","מרכז"
"1051","נגבה","ראשון לציון","מרכז"
"1052","יפה נוף","ראשון לציון","מרכז"
"1118","ממ""ד סיני","ראשון לציון","מרכז"
"1119","נוה עוז","ראשון לציון","מרכז"
"1121","מוקד קליטה רמת אליהו","ראשון לציון","מרכז"
"1123","מקיף ב","ראשון לציון","מרכז"
"1124","מישור הנוף","ראשון לציון","מרכז"
"1126","הדרים","ראשון לציון","מרכז"
"1128","ממ""ד מעלה שמעוני","ראשון לציון","מרכז"
"1129","ניצנים","ראשון לציון","מרכז"
"1131","תיכון טכנולוגי נעמת","ראשון לציון","מרכז"
"1133","גמנסיה ריאלית","ראשון לציון","מרכז"
"1135","חביב","ראשון לציון","מרכז"
"1136","מקיף י""א","ראשון לציון","מרכז"
"1263","דורות - בן גוריון","ראשון לציון","מרכז"
"1299","יסוד המעלה","ראשון לציון","מרכז"
"1300","שקמה","ראשון לציון","מרכז"
"1362","מקיף ח","ראשון לציון","מרכז"
"1441","מעיין חט""ב","ראשון לציון","מרכז"
"1442","תרבות","ראשון לציון","מרכז"
"1451","הראל","ראשון לציון","מרכז"
"1452","תיכון טומשין","ראשון לציון","מרכז"
"1454","מקיף י""ב המעיין","ראשון לציון","מרכז"
"1464","בארי ","ראשון לציון","מרכז"
"1465","בלקינד","ראשון לציון","מרכז"
"1466","בית אב""י","ראשון לציון","מרכז"
"1546","יגאל אלון","ראשון לציון","מרכז"
"1552","גני ראשון","ראשון לציון","מרכז"
"1565","שובו ","ראשון לציון","מרכז"
"1601","אחרון הבילויים","ראשון לציון","מרכז"
"1615","רזאל","ראשון לציון","מרכז"
"1301","קציר","רחובות","מרכז"
"1364","אמי""ת עמיחי","רחובות","מרכז"
"1371","ישיבת אמי""ת עמיחי","רחובות","מרכז"
"1444","השיטה","רחובות","מרכז"
"1448","מעלות משולם","רחובות","מרכז"
"1449","ויצמן","רחובות","מרכז"
"1469","דה שליט חטיבה א","רחובות","מרכז"
"1470","דה שליט תיכון","רחובות","מרכז"
"1474","חב""ד בנות","רחובות","מרכז"
"1484","רמון","רחובות","מרכז"
"1053","בן צבי","רמלה","מרכז"
"1054","שחקים","רמלה","מרכז"
"1471","מענית","רמלה","מרכז"
"1515","אורט לילנטל","רמלה","מרכז"
"1582","שרת","רמלה","מרכז"
"1596","קריית האומנים","רמלה","מרכז"
"1055","הבילויים","רמת גן","תל אביב"
"1056","הגפן","רמת גן","תל אביב"
"1057","החשמונאים","רמת גן","תל אביב"
"1058","הלל","רמת גן","תל אביב"
"1060","המנחיל","רמת גן","תל אביב"
"1061","מורשת משה","רמת גן","תל אביב"
"1062","מכלל","רמת גן","תל אביב"
"1063","מתמיד","רמת גן","תל אביב"
"1064","עליות","רמת גן","תל אביב"
"1065","עתיד","רמת גן","תל אביב"
"1067","קורצ'אק","רמת גן","תל אביב"
"1068","יהל""ם","רמת גן","תל אביב"
"1069","אביגור","רמת גן","תל אביב"
"1070","גבעולים","רמת גן","תל אביב"
"1071","אושא","רמת גן","תל אביב"
"1072","ערמונים","רמת גן","תל אביב"
"1159","רמת חן","רמת גן","תל אביב"
"1160","רמת אפעל","רמת גן","תל אביב"
"1161","המתמיד","רמת גן","תל אביב"
"1162","זומר","רמת גן","תל אביב"
"1220","ידיד לחינוך","רמת גן","תל אביב"
"1258","בן גוריון","רמת גן","תל אביב"
"1271","אוהל שם - תהיל""ה","רמת גן","תל אביב"
"1345","אוהל שם - מחוננים ","רמת גן","תל אביב"
"1346","נטעים","רמת גן","תל אביב"
"1372","בליך","רמת גן","תל אביב"
"1570","תל השומר גיל-עד","רמת גן","תל אביב"
"1657","תיכון חדש","רמת גן","תל אביב"
"1242","קישון","רמת דוד","צפון"
"1073","אור שחר","רמת השרון","תל אביב"
"1074","הדר","רמת השרון","תל אביב"
"1075","אוסישיקין","רמת השרון","תל אביב"
"1272","רשת המתנסים","רמת השרון","תל אביב"
"1375","רם רמה","רמת השרון","תל אביב"
"1076","ארזים ","רמת ישי","צפון"
"1651","היובל","רמת ישי","צפון"
"1077","מגד","רעננה","מרכז"
"1078","זיו","רעננה","מרכז"
"1302","מטרו ווסט","רעננה","מרכז"
"1304","יחדיו","רעננה","מרכז"
"1363","יונתן","רעננה","מרכז"
"1374","חטיבת יונתן","רעננה","מרכז"
"1488","שקד","רעננה","מרכז"
"1489","תל""י","רעננה","מרכז"
"1693","היובל","רעננה","מרכז"
"1132","אלנור","שגב שלום","דרום"
"1130","תורני מדעי אמי""ת","שדרות","דרום"
"1079","אבן חן","שוהם","מרכז"
"1080","צוקים","שוהם","מרכז"
"1082","חט''ב חדשה שוהם","שוהם","מרכז"
"1083","ניצנים","שוהם","מרכז"
"1472","רבין","שוהם","מרכז"
"1473","תיכון שוהם","שוהם","מרכז"
"1573","חט""ב יהלום","שוהם","מרכז"
"1705","אהל שילה בנות","שילה","ירושלים"
"1336","הרב מיימון","שלומי","צפון"
"1356","שלומי מרכז השתלמויות","שלומי","צפון "
"1521","אורט שלומי","שלומי","צפון"
"1556","בן צבי ","שלומי","צפון"
"1084","רעים","שמשית","צפון"
"1273","הדקל","תל אביב - יפו","תל אביב"
"1274","הפתוח הדמוקרטי","תל אביב - יפו","תל אביב"
"1275","גיבורי ישראל","תל אביב - יפו","תל אביב"
"1276","ארזים","תל אביב - יפו","תל אביב"
"1277","דוד ילין","תל אביב - יפו","תל אביב"
"1278","אלומות ","תל אביב - יפו","תל אביב"
"1279","גרץ","תל אביב - יפו","תל אביב"
"1357","הגליל","תל אביב - יפו","תל אביב"
"1365","Pressman-Magen","תל אביב - יפו","תל אביב"
"1458","רמת החייל","תל אביב - יפו","תל אביב"
"1531","אורט סינגלובסקי","תל אביב - יפו","תל אביב"
"1562","בלוך","תל אביב - יפו","תל אביב"
"1609","אהבת ציון","תל אביב - יפו","תל אביב"
"1616","בעל שם טוב","תל אביב - יפו","תל אביב"
"1690","ניצנים","תל אביב - יפו","תל אביב"
"1697","תכנית אדמס","תל אביב - יפו","תל אביב"
"1085","אילנות ","תל אביב - יפו","תל אביב"
"1086","לטבע סביבה וחברה","תל אביב - יפו","תל אביב"
"1087","ארן","תל אביב - יפו","תל אביב"
"1088","היובל","תל אביב - יפו","תל אביב"
"1089","נתיב","תל אביב - יפו","תל אביב"
"1090","רמת אביב ג","תל אביב - יפו","תל אביב"
"1091","תיכון טכנולוגי ע''ש רוז מצקין","תל אביב - יפו","תל אביב"
"1092","שורשים ממ''ד","תל אביב - יפו","תל אביב"
"1093","מודיעים","תל אביב - יפו","תל אביב"
"1094","מירון","תל אביב - יפו","תל אביב"
"1095","נעמי שמר","תל אביב - יפו","תל אביב"
"1096","אלחריזי","תל אביב - יפו","תל אביב"
"1167","תל נורדאו","תל אביב - יפו","תל אביב"
"1240","מגן","תל אביב - יפו","תל אביב"
"1243","עציון","תל אביב - יפו","תל אביב"
"1244","אוסישקין","תל אביב - יפו","תל אביב"
"1246","מרכז ידי""ד","תל אביב - יפו","תל אביב"
"1256","בבלי","תל אביב - יפו","תל אביב"
"1257","מוריה","תל אביב - יפו","תל אביב"
"1259","המשתלה","תל אביב - יפו","תל אביב"
"1262","והדרת","תל אביב - יפו","תל אביב"
"1576","כפיר ","תל אביב - יפו","תל אביב"
"1097","ניצנים","תל מונד","מרכז"
"1098","שלנו","תל מונד","מרכז"
"1229","נוף ילדות","תל מונד","מרכז"
"1334","רבין","תל מונד","מרכז"
"1456","תל מונד","תל מונד","מרכז"
