[11-Mar-2021 13:28:55 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5236
[11-Mar-2021 13:29:44 UTC] PHP Notice:  Undefined offset: 29 in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:29:44 UTC] PHP Notice:  Trying to access array offset on value of type null in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:29:44 UTC] PHP Notice:  Undefined offset: 29 in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:29:44 UTC] PHP Notice:  Trying to access array offset on value of type null in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:29:44 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:29:44 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5236
[11-Mar-2021 13:29:56 UTC] PHP Notice:  Undefined offset: 29 in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:29:56 UTC] PHP Notice:  Trying to access array offset on value of type null in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:29:56 UTC] PHP Notice:  Undefined offset: 29 in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:29:56 UTC] PHP Notice:  Trying to access array offset on value of type null in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:29:57 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:29:57 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5236
[11-Mar-2021 13:30:03 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:30:03 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5236
[11-Mar-2021 13:30:08 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:30:08 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5236
[11-Mar-2021 13:30:15 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:30:15 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5236
[11-Mar-2021 13:30:29 UTC] PHP Notice:  Undefined offset: 29 in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:30:29 UTC] PHP Notice:  Trying to access array offset on value of type null in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:30:29 UTC] PHP Notice:  Undefined offset: 29 in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:30:29 UTC] PHP Notice:  Trying to access array offset on value of type null in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:30:29 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:30:29 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5236
[11-Mar-2021 13:30:37 UTC] PHP Notice:  Undefined offset: 29 in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:30:37 UTC] PHP Notice:  Trying to access array offset on value of type null in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:30:37 UTC] PHP Notice:  Undefined offset: 29 in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:30:37 UTC] PHP Notice:  Trying to access array offset on value of type null in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-ui.php on line 1802
[11-Mar-2021 13:30:41 UTC] PHP Notice:  Trying to access array offset on value of type bool in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-api.php on line 1274
[11-Mar-2021 13:30:41 UTC] PHP Notice:  Trying to access array offset on value of type bool in /data/wp-ravdori/wp-content/plugins/wpmudev-updates/includes/class-wpmudev-dashboard-api.php on line 1280
